C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2019-03-07T00:00:00.000Z,0.175704986,0.565167248,0.394994657,0.060910956,5040,2686,0.395956457,0.318001598,0.473684222,19.03143585
2019-04-01T00:00:00.000Z,0.222298697,0.701508343,0.507921188,0.085187081,5040,2686,0.515783191,0.388037264,0.612230718,0
2019-04-16T00:00:00.000Z,0.221210495,0.773118675,0.529078005,0.091396976,5040,2686,0.528825164,0.409853816,0.652382374,0
2019-04-21T00:00:00.000Z,0.236777872,0.868596911,0.515492745,0.11265798,5040,2686,0.500761032,0.385216534,0.673906565,0
2019-05-,0.279671595,0.905219287,0.5741296,0.115260725,5040,2686,0.563124925,0.435322672,0.736230403,0
2019-06-05T00:00:00.000Z,0.322565317,0.941841662,0.632766455,0.117863471,5040,2686,0.625488818,0.48542881,0.798554242,0
2019-06-20T00:00:00.000Z,0.352267057,0.930902123,0.607240214,0.098410298,5040,2686,0.593121707,0.494912118,0.745166063,0
2019-06-25T00:00:00.000Z,0.365712792,0.915358365,0.618509722,0.088226234,5040,2686,0.606869221,0.515078425,0.742826343,0
2019-06-30T00:00:00.000Z,0.342149556,0.921094656,0.586649587,0.093165408,5040,2686,0.577675462,0.480250627,0.710314572,0
2019-07-20T00:00:00.000Z,0.272930652,0.911540389,0.556386686,0.115716832,5040,2686,0.55774647,0.400696874,0.698858917,0
2019-07-25T00:00:00.000Z,0.28308025,0.897567213,0.537537323,0.110376844,5040,2686,0.533029616,0.398559421,0.677898347,0
2019-08-09T00:00:00.000Z,0.383431643,0.908786416,0.66115047,0.090510704,5040,2686,0.65805167,0.543225825,0.785003304,0
2019-08-19T00:00:00.000Z,0.387479931,0.878729522,0.667229962,0.079803819,5040,2686,0.665461719,0.56231004,0.775985122,0
2019-09-03T00:00:00.000Z,0.410831332,0.89837569,0.683932876,0.082485882,5040,2686,0.685039341,0.577106535,0.791541457,0
