,C0/mean,C0/stDev,ried,wetterStation,id,indexer,time,station,schreg,s,sonn0,t,schoenw,Tautemp,e,e10,festrr,rsum
0,0.4729587186150761,0.0412331620250222,Ehren,3805,2017-03,2017-03-3805,2017-03-01T00:00+00:00,3805,0.0,150.0,1.0,8.3,,1.7,7.1,6.8,0.0,21.0
1,0.5310165786121518,0.06150533033727025,Ehren,3805,2017-04,2017-04-3805,2017-04-01T00:00+00:00,3805,0.0,153.0,6.0,9.8,,2.6,7.6,9.8,0.0,44.0
2,0.6334129219040558,0.1015628561870182,Ehren,3805,2017-05,2017-05-3805,2017-05-01T00:00+00:00,3805,0.0,258.0,0.0,16.6,17.0,,11.4,15.6,3.0,43.0
3,0.532550513652936,0.1121624139857012,Ehren,3805,2017-06,2017-06-3805,2017-06-01T00:00+00:00,3805,0.0,300.0,0.0,22.2,16.0,,13.2,22.3,0.0,24.0
4,0.5617449089640977,0.0859284601124876,Ehren,3805,2017-07,2017-07-3805,2017-07-01T00:00+00:00,3805,0.0,251.0,1.0,22.1,14.0,,14.9,22.6,0.0,72.0
5,0.6515204325196445,0.07298132147746814,Ehren,3805,2017-08,2017-08-3805,2017-08-01T00:00+00:00,3805,0.0,279.0,1.0,21.7,22.0,,16.0,22.6,0.0,49.0
6,0.6377893797824724,0.0688861854978542,Ehren,3805,2017-09,2017-09-3805,2017-09-01T00:00+00:00,3805,0.0,130.0,5.0,14.1,9.0,,12.0,15.9,0.0,74.0
7,0.4814818739616798,0.0586345166078173,Ehren,3805,2018-03,2018-03-3805,2018-03-01T00:00+00:00,3805,0.0,102.0,8.0,2.9,4.0,,5.7,2.5,15.0,23.0
8,0.6045580859427436,0.06737592903779015,Ehren,3805,2018-04,2018-04-3805,2018-04-01T00:00+00:00,3805,0.0,275.0,0.0,15.1,23.0,,10.0,13.0,0.0,9.0
9,0.6450048903220453,0.10241236010707228,Ehren,3805,2018-05,2018-05-3805,2018-05-01T00:00+00:00,3805,0.0,273.0,1.0,18.4,19.0,,14.0,18.5,0.0,100.0
10,0.5926938803946498,0.10446032597929863,Ehren,3805,2018-06,2018-06-3805,2018-06-01T00:00+00:00,3805,0.0,195.0,0.0,20.7,12.0,,15.2,21.3,0.0,83.0
11,0.612142875630614,0.06662824341101875,Ehren,3805,2018-07,2018-07-3805,2018-07-01T00:00+00:00,3805,0.0,263.0,1.0,22.2,19.0,,15.2,22.1,0.0,61.0
12,0.5798081664859883,0.06518296707288815,Ehren,3805,2018-08,2018-08-3805,2018-08-01T00:00+00:00,3805,0.0,295.0,0.0,23.0,24.0,,15.7,24.2,0.0,51.0
13,0.6426380705888296,0.0554306060900253,Ehren,3805,2018-09,2018-09-3805,2018-09-01T00:00+00:00,3805,0.0,221.0,2.0,16.3,19.0,,13.7,18.3,0.0,73.0
14,0.345324506,0.038692369000000004,Ehren,3805,2019-03,2019-03-3805,2019-03-01T00:00+00:00,3805,0.0,154.0,1.0,7.8,13.0,1.0,6.7,6.9,0.0,16.0
