,C0/mean,C0/stDev,ried,wetterStation,id,indexer,time,station,schreg,s,sonn0,t,schoenw,Tautemp,e,e10,festrr,rsum
0,0.4681164078947931,0.0746596101194153,Grill,3805,2017-03,2017-03-3805,2017-03-01T00:00+00:00,3805,0.0,150.0,1.0,8.3,,1.7,7.1,6.8,0.0,21.0
1,0.5076598829938548,0.0737267368817243,Grill,3805,2017-04,2017-04-3805,2017-04-01T00:00+00:00,3805,0.0,153.0,6.0,9.8,,2.6,7.6,9.8,0.0,44.0
2,0.5665423589135389,0.1001831174584613,Grill,3805,2017-05,2017-05-3805,2017-05-01T00:00+00:00,3805,0.0,258.0,0.0,16.6,17.0,,11.4,15.6,3.0,43.0
3,0.46266415006829886,0.10436111238610507,Grill,3805,2017-06,2017-06-3805,2017-06-01T00:00+00:00,3805,0.0,300.0,0.0,22.2,16.0,,13.2,22.3,0.0,24.0
4,0.4894964119019331,0.09848786561756451,Grill,3805,2017-07,2017-07-3805,2017-07-01T00:00+00:00,3805,0.0,251.0,1.0,22.1,14.0,,14.9,22.6,0.0,72.0
5,0.6027630487243826,0.10063627915665745,Grill,3805,2017-08,2017-08-3805,2017-08-01T00:00+00:00,3805,0.0,279.0,1.0,21.7,22.0,,16.0,22.6,0.0,49.0
6,0.5844627204500592,0.1037943924842647,Grill,3805,2017-09,2017-09-3805,2017-09-01T00:00+00:00,3805,0.0,130.0,5.0,14.1,9.0,,12.0,15.9,0.0,74.0
7,0.4388516527193562,0.0735044458849109,Grill,3805,2018-03,2018-03-3805,2018-03-01T00:00+00:00,3805,0.0,102.0,8.0,2.9,4.0,,5.7,2.5,15.0,23.0
8,0.547389474386051,0.0987676399283101,Grill,3805,2018-04,2018-04-3805,2018-04-01T00:00+00:00,3805,0.0,275.0,0.0,15.1,23.0,,10.0,13.0,0.0,9.0
9,0.6635577119770361,0.08571160153103413,Grill,3805,2018-05,2018-05-3805,2018-05-01T00:00+00:00,3805,0.0,273.0,1.0,18.4,19.0,,14.0,18.5,0.0,100.0
10,0.6537712132526025,0.08168457540584248,Grill,3805,2018-06,2018-06-3805,2018-06-01T00:00+00:00,3805,0.0,195.0,0.0,20.7,12.0,,15.2,21.3,0.0,83.0
11,0.643844424216346,0.08115384473126923,Grill,3805,2018-07,2018-07-3805,2018-07-01T00:00+00:00,3805,0.0,263.0,1.0,22.2,19.0,,15.2,22.1,0.0,61.0
12,0.5930186695964247,0.07409514194103164,Grill,3805,2018-08,2018-08-3805,2018-08-01T00:00+00:00,3805,0.0,295.0,0.0,23.0,24.0,,15.7,24.2,0.0,51.0
13,0.6744003559409835,0.0922002469359794,Grill,3805,2018-09,2018-09-3805,2018-09-01T00:00+00:00,3805,0.0,221.0,2.0,16.3,19.0,,13.7,18.3,0.0,73.0
