,C0/mean,C0/stDev,ried,wetterStation,id,indexer,time,station,schreg,s,sonn0,t,schoenw,Tautemp,e,e10,festrr,rsum
0,0.4696125715767303,0.0680885622105067,Heilig,3811,2017-03,2017-03-3811,2017-03-01T00:00+00:00,3811,0.0,151.0,1.0,7.7,,1.5,7.0,7.2,0.0,21.0
1,0.4880483982808464,0.0698231666409077,Heilig,3811,2017-04,2017-04-3811,2017-04-01T00:00+00:00,3811,2.0,157.0,4.0,9.5,,2.3,7.4,10.5,2.0,35.0
2,0.5566738249303596,0.12040455009878964,Heilig,3811,2017-05,2017-05-3811,2017-05-01T00:00+00:00,3811,0.0,261.0,0.0,16.3,,,11.2,17.7,0.0,17.0
3,0.42932936821939716,0.0945962575318918,Heilig,3811,2017-06,2017-06-3811,2017-06-01T00:00+00:00,3811,0.0,293.0,0.0,21.7,,,13.4,24.1,0.0,36.0
4,0.5011574877032172,0.08924355901433732,Heilig,3811,2017-07,2017-07-3811,2017-07-01T00:00+00:00,3811,0.0,255.0,1.0,21.5,,,15.1,23.0,20.0,130.0
5,0.6519211042551976,0.07085662821907357,Heilig,3811,2017-08,2017-08-3811,2017-08-01T00:00+00:00,3811,0.0,284.0,1.0,21.2,,,16.0,23.2,0.0,54.0
6,0.6327944115689057,0.0697883457581104,Heilig,3811,2017-09,2017-09-3811,2017-09-01T00:00+00:00,3811,0.0,135.0,6.0,13.7,,,11.7,15.4,0.0,83.0
7,0.4308027206629279,0.0532236264675815,Heilig,3811,2018-03,2018-03-3811,2018-03-01T00:00+00:00,3811,,99.0,7.0,2.5,,,5.5,2.7,,24.0
8,0.5522683192615789,0.08108801015015024,Heilig,3811,2018-04,2018-04-3811,2018-04-01T00:00+00:00,3811,,274.0,0.0,14.8,,,10.0,13.2,,8.0
9,0.5811616551434948,0.09483449663088028,Heilig,3811,2018-05,2018-05-3811,2018-05-01T00:00+00:00,3811,,277.0,1.0,18.3,,,14.0,18.6,,109.0
10,0.572002777561629,0.0913199561462872,Heilig,3811,2018-06,2018-06-3811,2018-06-01T00:00+00:00,3811,,207.0,0.0,20.6,,,15.5,21.6,,54.0
11,0.5111567681128633,0.09627871504677397,Heilig,3811,2018-07,2018-07-3811,2018-07-01T00:00+00:00,3811,,278.0,1.0,21.8,,,15.7,22.1,,86.0
12,0.5319795917173779,0.07637628597987987,Heilig,3811,2018-08,2018-08-3811,2018-08-01T00:00+00:00,3811,,295.0,0.0,22.5,,,16.4,23.2,,50.0
13,0.6170875260662898,0.0647731001265098,Heilig,3811,2018-09,2018-09-3811,2018-09-01T00:00+00:00,3811,,220.0,1.0,16.0,,,14.0,18.0,,61.0
14,0.3838639752521624,0.0673117842801212,Heilig,3811,2019-03,2019-03-3811,2019-03-01T00:00+00:00,3811,,153.0,1.0,7.5,,1.5,6.9,7.1,,11.0
15,0.489817649853818,0.07940667108924439,Heilig,3811,2019-04,2019-04-3811,2019-04-01T00:00+00:00,3811,,223.0,3.0,11.1,,,7.9,11.6,,27.0
16,0.3901054934972061,0.0962912900885904,Heilig,3811,2019-05,2019-05-3811,2019-05-01T00:00+00:00,3811,,138.0,6.0,12.9,,,11.0,13.2,,114.0
17,0.6218770457919419,0.08873706020534655,Heilig,3811,2019-06,2019-06-3811,2019-06-01T00:00+00:00,3811,,341.0,0.0,23.1,,,17.3,22.4,,33.0
18,0.5066724040073566,0.0912585744259739,Heilig,3811,2019-07,2019-07-3811,2019-07-01T00:00+00:00,3811,,251.0,0.0,22.0,,,15.7,22.8,,
19,0.5437574115010543,0.1016011957962603,Heilig,3811,2019-08,2019-08-3811,2019-08-01T00:00+00:00,3811,,244.0,0.0,21.3,,,17.5,21.9,,67.0
