,C0/mean,C0/stDev,ried,wetterStation,id,indexer,time,station,schreg,s,sonn0,t,schoenw,Tautemp,e,e10,festrr,rsum
0,0.4576986971141479,0.0772922494462335,Steinm,3811,2017-03,2017-03-3811,2017-03-01T00:00+00:00,3811,0.0,151.0,1.0,7.7,,1.5,7.0,7.2,0.0,21.0
1,0.4858920118221327,0.0840441763018932,Steinm,3811,2017-04,2017-04-3811,2017-04-01T00:00+00:00,3811,2.0,157.0,4.0,9.5,,2.3,7.4,10.5,2.0,35.0
2,0.5145294847736361,0.12600404392445305,Steinm,3811,2017-05,2017-05-3811,2017-05-01T00:00+00:00,3811,0.0,261.0,0.0,16.3,,,11.2,17.7,0.0,17.0
3,0.4385620615030428,0.09143497948548608,Steinm,3811,2017-06,2017-06-3811,2017-06-01T00:00+00:00,3811,0.0,293.0,0.0,21.7,,,13.4,24.1,0.0,36.0
4,0.4656894735266097,0.08931886833221207,Steinm,3811,2017-07,2017-07-3811,2017-07-01T00:00+00:00,3811,0.0,255.0,1.0,21.5,,,15.1,23.0,20.0,130.0
5,0.56714705477302,0.08507294938641698,Steinm,3811,2017-08,2017-08-3811,2017-08-01T00:00+00:00,3811,0.0,284.0,1.0,21.2,,,16.0,23.2,0.0,54.0
6,0.5715334761753801,0.0755768571235178,Steinm,3811,2017-09,2017-09-3811,2017-09-01T00:00+00:00,3811,0.0,135.0,6.0,13.7,,,11.7,15.4,0.0,83.0
7,0.4734916635452094,0.0714681072597307,Steinm,3811,2018-03,2018-03-3811,2018-03-01T00:00+00:00,3811,,99.0,7.0,2.5,,,5.5,2.7,,24.0
8,0.5732076916598795,0.1086961584077725,Steinm,3811,2018-04,2018-04-3811,2018-04-01T00:00+00:00,3811,,274.0,0.0,14.8,,,10.0,13.2,,8.0
9,0.5799808436572197,0.11683686139185963,Steinm,3811,2018-05,2018-05-3811,2018-05-01T00:00+00:00,3811,,277.0,1.0,18.3,,,14.0,18.6,,109.0
10,0.5802637475576229,0.0968449244786706,Steinm,3811,2018-06,2018-06-3811,2018-06-01T00:00+00:00,3811,,207.0,0.0,20.6,,,15.5,21.6,,54.0
11,0.478137372914007,0.1041120415308516,Steinm,3811,2018-07,2018-07-3811,2018-07-01T00:00+00:00,3811,,278.0,1.0,21.8,,,15.7,22.1,,86.0
12,0.48928410147400314,0.09828785543095797,Steinm,3811,2018-08,2018-08-3811,2018-08-01T00:00+00:00,3811,,295.0,0.0,22.5,,,16.4,23.2,,50.0
13,0.6972103688947527,0.0863934164816111,Steinm,3811,2018-09,2018-09-3811,2018-09-01T00:00+00:00,3811,,220.0,1.0,16.0,,,14.0,18.0,,61.0
14,0.2858295976097686,0.1162164806232508,Steinm,3811,2019-03,2019-03-3811,2019-03-01T00:00+00:00,3811,,153.0,1.0,7.5,,1.5,6.9,7.1,,11.0
15,0.5083569126105866,0.09899409832127148,Steinm,3811,2019-04,2019-04-3811,2019-04-01T00:00+00:00,3811,,223.0,3.0,11.1,,,7.9,11.6,,27.0
16,0.5909486308034766,0.1036775680006972,Steinm,3811,2019-05,2019-05-3811,2019-05-01T00:00+00:00,3811,,138.0,6.0,12.9,,,11.0,13.2,,114.0
17,0.5700185157022922,0.09717295931263195,Steinm,3811,2019-06,2019-06-3811,2019-06-01T00:00+00:00,3811,,341.0,0.0,23.1,,,17.3,22.4,,33.0
18,0.48875131512252434,0.10155572462705095,Steinm,3811,2019-07,2019-07-3811,2019-07-01T00:00+00:00,3811,,251.0,0.0,22.0,,,15.7,22.8,,
19,0.5248729642673109,0.10935118180432503,Steinm,3811,2019-08,2019-08-3811,2019-08-01T00:00+00:00,3811,,244.0,0.0,21.3,,,17.5,21.9,,67.0
20,0.5800505624595101,0.0772926830983505,Steinm,3811,2019-09,2019-09-3811,2019-09-01T00:00+00:00,3811,,194.0,2.0,15.5,,,12.9,17.1,,51.0
21,0.4587475851381455,0.0773325075446831,Steinm,3811,2020-03,2020-03-3811,2020-03-01T00:00+00:00,3811,,193.0,1.0,6.0,,,6.0,6.3,,19.0
22,0.459860130334477,0.1017473325132897,Steinm,3811,2020-04,2020-04-3811,2020-04-01T00:00+00:00,3811,,305.0,0.0,11.3,,0.6,6.7,10.8,,10.0
23,0.4407630366954289,0.0929870424103188,Steinm,3811,2020-05,2020-05-3811,2020-05-01T00:00+00:00,3811,,218.0,1.0,14.1,,,9.7,14.8,,48.0
24,0.4317887061055701,0.0745170092165258,Steinm,3811,2020-06,2020-06-3811,2020-06-01T00:00+00:00,3811,,183.0,2.0,18.9,,,15.2,18.6,,122.0
25,0.6174383747671307,0.1049421322215689,Steinm,3811,2020-07,2020-07-3811,2020-07-01T00:00+00:00,3811,,264.0,1.0,20.3,,,16.0,21.1,,89.0
26,0.6656868966583517,0.08986609469406842,Steinm,3811,2020-08,2020-08-3811,2020-08-01T00:00+00:00,3811,,241.0,0.0,21.0,,,17.9,22.2,,113.0
27,0.7157354804172453,0.0681250779802547,Steinm,3811,2020-09,2020-09-3811,2020-09-01T00:00+00:00,3811,,209.0,5.0,15.7,,,14.3,,,82.0
28,0.45315899,0.07417541,Steinm,3811,2021-03,2021-03-3811,2021-03-01T00:00+00:00,3811,,139.0,3.0,4.3,,,5.8,4.7,,11.0
