,Kurzbeschreibung,Beschreibung,Einheit
Tautemp,Taupunkt Monatsmittel,"Taupunktstemperatur, Monatsmittel - Summe aller Taupunkte aus 7, 14, 19/21 Uhr-Terminen",°C
b,"Bewölkungsmenge Monatsmittel aller Beobachtungstermine I,II,III","Bewölkungsmittel aller Beobachtungstermine - Mittel aller 7 Uhr, 14 Uhr  und  19/21 Uhr Termine",1/100
b14,Bewölkungsmenge Monatsmittel der Beobachtungstermine II,Bewölkungsmenge Monatsmittel zum Beobachtungstermin II (14:00 MEZ) - Mittel aller14 Uhr Termine,1/100
b19,Bewölkungsmenge Monatsmittel der Beobachtungstermine III,"Bewölkungsmenge Monatsmittel zum Beobachtungstermin III (19 MEZ / vor 1971: 21 Uhr MOZ ) - Mittel aller 19/21 Uhr Termine / vor 1971 21 Uhr, ab 1971 19 Uhr",1/100
b7,Bewölkungsmenge Monatsmittel der Beobachtungstermine I,Bewölkungsmenge Monatsmittel zum Beobachtungstermin I (07:00 MEZ) - Mittel aller 7 Uhr Termine,1/100
ddc,Anzahl der Beobachtungstermine mit Calmen,Windrichtung Anzahl der Termine mit Calmen = Windstille - Termine mit dd=0,
dde,Anzahl der Beobachtungstermine mit Windrichtung O,Windrichtung Anzahl der Termine mit Windrichtung Sektor Ost - Termine mit dd=8,
ddn,Anzahl der Beobachtungstermine mit Windrichtung N,Windrichtung Anzahl der Termine mit Windrichtung Sektor Nord - Termine mit dd=32,
ddne,Anzahl der Beobachtungstermine mit Windrichtung NO,Windrichtung Anzahl der Termine mit Windrichtung Sektor Nordost - Termine mit dd=4,
ddnw,Anzahl der Beobachtungstermine mit Windrichtung NW,Windrichtung Anzahl der Termine mit Windrichtung Sektor Nordwest - Termine mit dd=28,
dds,Anzahl der Beobachtungstermine mit Windrichtung S,Windrichtung Anzahl der Termine mit Windrichtung Sektor Süd - Termine mit dd=16,
ddse,Anzahl der Beobachtungstermine mit Windrichtung SO,Windrichtung Anzahl der Termine mit Windrichtung Sektor Südost - Termine mit dd=12,
ddsw,Anzahl der Beobachtungstermine mit Windrichtung SW,Windrichtung Anzahl der Termine mit Windrichtung Sektor Südwest - Termine mit dd=20,
ddw,Anzahl der Beobachtungstermine mit Windrichtung W,Windrichtung Anzahl der Termine mit Windrichtung Sektor West - Termine mit dd=24,
e,"Dampfdruck Monatsmittel aller Beobachtungstermine I,II,III","Dampfdruck Monatsmittel aus Tageswerten - Mittel aller 7 Uhr,14 Uhr,19/21Uhr Termine",hPa
e10,Erdbodentemperatur -10cm Monatsmittel,"Erdbodentemperatur in 10cm Tiefe, Monatsmittel der Stundenwerte - Mittel aller Stundenwerte, zumindest > 600 Werte",°C
e100,Erdbodentemperatur -100cm Monatsmittel,"Erdbodentemperatur in 100cm Tiefe, Monatsmittel der Stundenwerte - Mittel aller Stundenwerte, zumindest > 600 Werte",°C
e14,Dampfdruck Monatsmittel der Beobachtungstermine II,Dampfdruck Monatsmittel zum Termin II (14:00 MEZ) - Mittel aller 14 Uhr Dampfdrucke,hPa
e19,Dampfdruck Monatsmittel der Beobachtungstermine III,"Dampfdruck Monatsmittel zum Termin III (19:00 MEZ) - Mittel aller 19/21 Uhr Termine / vor 1971 21 Uhr, ab 1971 19 Uhr",hPa
e20,Erdbodentemperatur -20cm Monatsmittel,"Erdbodentemperatur in 20cm Tiefe, Monatsmittel der Stundenwerte - Mittel aller Stundenwerte, zumindest > 600 Werte",°C
e200,Erdbodentemperatur -200cm Monatsmittel,"Erdbodentemperatur in 200cm Tiefe, Monatsmittel der Stundenwerte - Mittel aller Stundenwerte, zumindest > 600 Werte",°C
e50,Erdbodentemperatur -50cm Monatsmittel,"Erdbodentemperatur in 50cm Tiefe, Monatsmittel der Stundenwerte - Mittel aller Stundenwerte, zumindest > 600 Werte",°C
e7,Dampfdruck Monatsmittel der Beobachtungstermine I,Dampfdruck Monatsmittel zum Termin I (07:00 MEZ) - Mittel aller 7 Uhr Dampfdrucke,hPa
eis,Zahl der Eistage,Zahl der Eistage: Tagesmaximum der Lufttemperatur in 2m Höhe < 0.0 °C - Summe der Tage mit tmax < 0,
eschwuel,Zahl der etwas schwülen Tage,"Zahl der etwas schwülen Tage: Äquivalenttemperatur >=49.1 und <=56.0 °C - wenn Äquivalenttemperatur >= 49.1 und <= 56.0 °C ist (7,14,19 Uhr Termin)",
