time,station,schreg,s,sonn0,t,schoenw,Tautemp,e,e10,festrr,rsum
2017-01-01T00:00+00:00,3805,1.0,85.0,11.0,-3.6,,,3.4,-0.9,7.0,11.0
2017-01-01T00:00+00:00,3811,2.0,75.0,10.0,-3.9,6.0,,3.3,-1.4,8.0,13.0
2017-02-01T00:00+00:00,3805,3.0,87.0,9.0,2.4,,,5.6,0.2,6.0,14.0
2017-02-01T00:00+00:00,3811,0.0,82.0,8.0,2.1,6.0,,5.5,0.9,0.0,16.0
2017-03-01T00:00+00:00,3805,0.0,150.0,1.0,8.3,,1.7,7.1,6.8,0.0,21.0
2017-03-01T00:00+00:00,3811,0.0,151.0,1.0,7.7,,1.5,7.0,7.2,0.0,21.0
2017-04-01T00:00+00:00,3805,0.0,153.0,6.0,9.8,,2.6,7.6,9.8,0.0,44.0
2017-04-01T00:00+00:00,3811,2.0,157.0,4.0,9.5,,2.3,7.4,10.5,2.0,35.0
2017-05-01T00:00+00:00,3805,0.0,258.0,0.0,16.6,17.0,,11.4,15.6,3.0,43.0
2017-05-01T00:00+00:00,3811,0.0,261.0,0.0,16.3,,,11.2,17.7,0.0,17.0
2017-06-01T00:00+00:00,3805,0.0,300.0,0.0,22.2,16.0,,13.2,22.3,0.0,24.0
2017-06-01T00:00+00:00,3811,0.0,293.0,0.0,21.7,,,13.4,24.1,0.0,36.0
2017-07-01T00:00+00:00,3805,0.0,251.0,1.0,22.1,14.0,,14.9,22.6,0.0,72.0
2017-07-01T00:00+00:00,3811,0.0,255.0,1.0,21.5,,,15.1,23.0,20.0,130.0
2017-08-01T00:00+00:00,3805,0.0,279.0,1.0,21.7,22.0,,16.0,22.6,0.0,49.0
2017-08-01T00:00+00:00,3811,0.0,284.0,1.0,21.2,,,16.0,23.2,0.0,54.0
2017-09-01T00:00+00:00,3805,0.0,130.0,5.0,14.1,9.0,,12.0,15.9,0.0,74.0
2017-09-01T00:00+00:00,3811,0.0,135.0,6.0,13.7,,,11.7,15.4,0.0,83.0
2017-10-01T00:00+00:00,3805,0.0,123.0,5.0,10.8,13.0,,10.1,11.8,0.0,50.0
2017-10-01T00:00+00:00,3811,0.0,116.0,5.0,10.7,,,9.9,11.6,0.0,43.0
