statnr;synnr;name;Bundesland;länge;breite;höhe Klimagarten;Barometerhöhe;datuma;Finanzierung;Ordnung;GPS-Vermessung;länge_dezi;breite_dezi
500;11021;LITSCHAU;Niederösterreich;150218;485717;558;557;19831001;ZAMG;TAWES;Ja;15,03833333;48,95472222
726;11047;RAABS/THAYA;Niederösterreich;153007;485053;459;456;20080625;ZAMG;TAWES;Ja;15,50194444;48,84805556
905;11022;RETZ/WINDMUEHLE;Niederösterreich;155630;484540;320;320;19931001;ZAMG;TAWES;Ja;15,94166667;48,76111111
1401;11007;KOLLERSCHLAG;Oberösterreich;135022;483611;715;713;20080525;ZAMG;TAWES;Ja;13,83944444;48,60305556
1415;11008;ROHRBACH;Oberösterreich;135939;483411;597;602;19940601;ZAMG;TAWES;Ja;13,99416667;48,56972222
1601;11015;FREISTADT;Oberösterreich;143022;483022;549;548;19911201;ZAMG;TAWES;Ja;14,50611111;48,50611111
1802;11025;WEITRA;Niederösterreich;145355;484208;572;570;20030821;ZAMG;TAWES;Ja;14,89861111;48,70222222
1906;11019;ALLENTSTEIG;Niederösterreich;152201;484127;599;607;19920801;ZAMG;TAWES;Ja;15,36694444;48,69083333
1920;11020;STIFT ZWETTL;Niederösterreich;151213;483704;502;505;19940801;ZAMG;TAWES;Ja;15,20361111;48,61777778
2114;11388;HORN;Niederösterreich;154013;484013;318;318;20070701;ZAMG;TAWES;Ja;15,67027778;48,67027778
2115;11023;GARS/KAMP;Niederösterreich;154004;483544;267;272;19980901;FREMD;TAWES;Ja;15,66777778;48,59555556
2207;11334;SCHOENGRABERN;Niederösterreich;160342;483612;253;251;20070401;ZAMG;TAWES;Ja;16,06166667;48,60333333
2401;11335;LAA/TH.KLAERANLAGE;Niederösterreich;162323;484353;184;184;20061218;ZAMG;TAWES / VAMES  ;Ja;16,38972222;48,73138889
2415;11083;LEISER BERGE;Niederösterreich;162218;483332;457;458;19980325;ZAMG;TAWES;Ja;16,37166667;48,55888889
2430;11332;MISTELBACH (OE3);Niederösterreich;163636;483415;195;195;20041201;FREMD;Ö3 ;Nein;16,61;48,57083333
2503;11032;POYSDORF-OST;Niederösterreich;163815;484009;198;205;19911128;ZAMG;TAWES;Ja;16,6375;48,66916667
2601;11333;HOHENAU;Niederösterreich;165416;483659;154;153;20070701;ZAMG;TAWES;Ja;16,90444444;48,61638889
2902;11004;REICHERSBERG;Oberösterreich;132234;481952;351;351;20080625;ZAMG;TAWES;Ja;13,37611111;48,33111111
2910;11055;SCHAERDING;Oberösterreich;132604;482751;307;313;19921201;ZAMG;TAWES;Ja;13,43444444;48,46416667
3111;11058;WAIZENKIRCHEN;Oberösterreich;135153;481936;400;400;20080625;ZAMG;TAWES;Ja;13,86472222;48,32666667
3202;11060;LINZ-STADT;Oberösterreich;141708;481747;262;262;19920701;ZAMG;TAWES;Ja;14,28555556;48,29638889
